display_name,count
Andr Lemaire,1
Unknown Freestyler,1
VA or VT depending on when you ask,1
Varvel Josh,1
Tuukka Antikainen 9. Iisak Liukko,1
U-Nanim.Works (Pierrot,1
Annual IFPA European Footbag Championships,1
Anthony Intemann / Greg Nice Neumann,1
Anthony Raymond Intemann,1
Ted Fritsch (Ellenville,1
Ted Johnson,1
Ted The Gatekeeper Fritsch,1
Tellenbach,1
Texas,1
Thanhoffer,1
Ulrike Hler,1
University of Maryland Footbag Club),1
The next highest-placed player,1
Theo Batiste,1
Theodore Fritsch,1
Theodore J. Fritsch,1
Thierfelde,1
Thomas Forster,1
Thomas Frster,1
Ted Fritch,1
Tomáš Tuček,1
Toni,1
Torben Wigger,1
Walters,1
Weber Honza (Alpine Legbeater,1
Whirling Swirl,1
Whirlygig whirlwind spinning blender,1
Wichita,1
Touzelet,1
Tuan,1
Tuan DiscoNinja Vu,1
Tuomas Kärki 1. Tuomas Kärki,1
Tutur,1
Tomek Kociołkowski,1
Tommi Terä,1
Tomáš Koníček,1
Becca English-Ross,1
Becca English-Ross )USA),1
Becca Ross,1
B Solonoski-prizes,1
B. Dubuis,1
Ulli Hase,1
Ulli NUH Haase,1
Torch-r-rack,1
Andre Lemaire (Vancouver,1
Andre Peńa,1
Andreas Kaefer,1
Andreina Peña,1
"BC, Arizona, Texas",1
Babtiste Martin,1
Baker,1
Barakat,1
Aitor Armińo,1
*,1
(scratched) Michael Stefanelli,1
Alberto Perez,1
"""Rame"", Wichita Ks",1
Aleksander,1
Aleksander Smirnov,1
A Noller-prizes,1
A Jolicour,1
Aleksi Öhman 7. Jarno Terho,1
A Inteman,1
A GRAVEL,1
Alex G,1
Alex Smirnov,1
Alex Trenner,1
Alexander Tushkanov,1
st,1
team being determined by the head-to-head,1
Alexie Deschenes,1
Alexis,1
Alexis Cańas,1
A Lasken,1
Alexis Deschene,1
Alexis Deschennes,1
Veli,1
Vera Dabeare,1
Vera De Baere,1
Vera DeBaere (BC) Ann Lasken,1
Victor,1
Élise Regreny,1
Ü 30 Connection Gimbel Heimer,1
Aeriel Santestaban,1
ukasz Domin,1
unknown,1
winners in open,1
women's events.,1
andi wolf,1
his Watercarrier,1
kickers from as far as Vancouver,1
mike voightman,1
Yulia Tikhomirova I,1
"Yves Archambault (Montreal, Quebec",1
Yves Arschamboult,1
Zach Reeves,1
Yas Sin Khateeb,1
Yassin,1
ted's excellent adventure,1
tie,1
A.Dukes,1
A.Marment,1
AB) or,1
AQAF),1
"AZ, USA)",1
Abdula,1
Yosarian Kelly,1
Ypsilonassin,1
A Smith,1
A. Dukes,1
A. Fritch,1
A. Intemann,1
A. Ronald,1
A. Smirnov,1
A. Wolff,1
A.Dick,1
